sentence,unfair_label,law_article,article_number
"① 을의 점포명, 운영층, 매장위치, 매장면적 및 판촉사원의 수는 '프리미엄 시계관'과 같다.",0,0,12
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 이를테면, 시계의 판매 가격을 임의로 변경하거나, 시계의 브랜드 이미지를 훼손하는 행위를 해서는 안 된다. 또한, 시계의 품질 보증 기간을 부당하게 단축하거나, 시계에 대한 거짓 정보를 유포하는 상황도 허용되지 않는다. 마지막으로, 시계의 디자인을 사전 동의 없이 무단으로 사용하여 타사에 판매하는 행위 또한 금지된다.",0,0,12
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 이를테면, 시계의 판매 가격을 임의로 변경하거나, 시계의 브랜드 이미지를 훼손하는 행위를 해서는 안 된다. 또한, 시계의 품질 보증 기간을 부당하게 단축하거나, 시계에 대한 거짓 정보를 유포하는 상황도 허용되지 않는다. 마지막으로, 시계의 디자인을 사전 동의 없이 무단으로 사용하여 타사에 판매하는 행위 또한 금지된다. 1. 일정한 점포의 매장에서 퇴점하는 것을 방해하거나 을의 의사에 반하여 갑의 다른 점포의 매장에 입점하게 하는 행위",0,0,12
"② 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 이를테면, 시계의 판매 가격을 임의로 변경하거나, 시계의 브랜드 이미지를 훼손하는 행위를 해서는 안 된다. 또한, 시계의 품질 보증 기간을 부당하게 단축하거나, 시계에 대한 거짓 정보를 유포하는 상황도 허용되지 않는다. 마지막으로, 시계의 디자인을 사전 동의 없이 무단으로 사용하여 타사에 판매하는 행위 또한 금지된다. 2. 계약기간 중에 을의 매장의 위치ㆍ면적ㆍ시설을 변경하는 행위",0,0,12
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 설비변경 시에는 '프리미엄 클래식 시계'의 특성을 고려하여 고객의 접근성을 최우선으로 하며, 인테리어 변경은 시계의 고급스러움을 강조하는 요소로 구성해야 한다. 설비변경 완료 후에는 고객이 '프리미엄 클래식 시계'를 쉽게 감상할 수 있는 공간을 확보해야 하며, 매장의 각종 장식은 이와 조화를 이루어야 한다. 또한, 설비변경이 완료된 후에는 고객의 피드백을 수집하여 향후 개선 사항을 반영하는 것이 중요하다.",0,0,12
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 설비변경 시에는 '프리미엄 클래식 시계'의 특성을 고려하여 고객의 접근성을 최우선으로 하며, 인테리어 변경은 시계의 고급스러움을 강조하는 요소로 구성해야 한다. 설비변경 완료 후에는 고객이 '프리미엄 클래식 시계'를 쉽게 감상할 수 있는 공간을 확보해야 하며, 매장의 각종 장식은 이와 조화를 이루어야 한다. 또한, 설비변경이 완료된 후에는 고객의 피드백을 수집하여 향후 개선 사항을 반영하는 것이 중요하다. 1. 매장 바닥, 조명, 벽체 등 기초시설 공사에 관한 비용은 갑이 부담한다. 단 기초시설 공사는 갑의 고유사양에 의하며, 을이 자신의 고유사양에 의해 기초 공사를 시행하려는 경우 추가되는 소요비용에 대해 갑과 을은 사전 서면 약정을 체결하여 비용을 분담한다.",0,0,12
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 설비변경 시에는 '프리미엄 클래식 시계'의 특성을 고려하여 고객의 접근성을 최우선으로 하며, 인테리어 변경은 시계의 고급스러움을 강조하는 요소로 구성해야 한다. 설비변경 완료 후에는 고객이 '프리미엄 클래식 시계'를 쉽게 감상할 수 있는 공간을 확보해야 하며, 매장의 각종 장식은 이와 조화를 이루어야 한다. 또한, 설비변경이 완료된 후에는 고객의 피드백을 수집하여 향후 개선 사항을 반영하는 것이 중요하다. 2. MD개편, 매장 리뉴얼 등 갑의 사유로 설비 변경하는 경우 이에 소요되는 비용은 갑이 부담한다. 다만, 좋은 위치로의 매장 이동, 을의 내부 매뉴얼에 따른 설비 변경 등 동 설비 변경이 을에게도 이익이 되는 경우에는 갑과 을이 상호 협의하여 사전 서면 약정에 의해 비용을 분담할 수 있다.(기초시설 공사비용은 제1호에 의한다.)",0,0,12
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 설비변경 시에는 '프리미엄 클래식 시계'의 특성을 고려하여 고객의 접근성을 최우선으로 하며, 인테리어 변경은 시계의 고급스러움을 강조하는 요소로 구성해야 한다. 설비변경 완료 후에는 고객이 '프리미엄 클래식 시계'를 쉽게 감상할 수 있는 공간을 확보해야 하며, 매장의 각종 장식은 이와 조화를 이루어야 한다. 또한, 설비변경이 완료된 후에는 고객의 피드백을 수집하여 향후 개선 사항을 반영하는 것이 중요하다. 3. 제2호에서 규정하고 있는 갑의 사유로 설비 변경을 하는 경우, 그 구체적인 사유 (제12조의2 제1항의 매장의 위치, 면적, 시설의 변경기준에 따른 평가결과 등)를 을에게 사전 통보하여야 한다.",0,0,12
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 설비변경 시에는 '프리미엄 클래식 시계'의 특성을 고려하여 고객의 접근성을 최우선으로 하며, 인테리어 변경은 시계의 고급스러움을 강조하는 요소로 구성해야 한다. 설비변경 완료 후에는 고객이 '프리미엄 클래식 시계'를 쉽게 감상할 수 있는 공간을 확보해야 하며, 매장의 각종 장식은 이와 조화를 이루어야 한다. 또한, 설비변경이 완료된 후에는 고객의 피드백을 수집하여 향후 개선 사항을 반영하는 것이 중요하다. 4. 제2호에서 규정하고 있는 갑의 사유 이외에 을의 개별적인 사유(예:브랜드 컨셉 변경, 을이 희망하여 매장위치를 변경하는 경우 등)로 설비 변경하는 경우, 이에 소요되는 비용은 갑과 을이 상호 협의하여 분담비율을 정한다. (기초시설 공사비용은 제1호에 의한다.)",0,0,12
"③ 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 '설비변경'이라 한다)하는 경우 다음 각 호의 내용을 준수한다. 설비변경 시에는 '프리미엄 클래식 시계'의 특성을 고려하여 고객의 접근성을 최우선으로 하며, 인테리어 변경은 시계의 고급스러움을 강조하는 요소로 구성해야 한다. 설비변경 완료 후에는 고객이 '프리미엄 클래식 시계'를 쉽게 감상할 수 있는 공간을 확보해야 하며, 매장의 각종 장식은 이와 조화를 이루어야 한다. 또한, 설비변경이 완료된 후에는 고객의 피드백을 수집하여 향후 개선 사항을 반영하는 것이 중요하다. 5. 제4호에서 규정한 을의 사유로 인한 설비변경을 실시하는 경우 타 입점업체의 영업활동에 방해가 발생하지 않도록 공사 일정 등에 대해 을은 갑과 사전 협의한다.",0,0,12
